item_no,item_name,branch,quantity,date
CAKE-001,Chocolate Fudge Cake,BR-A,126,2026-03-01
CAKE-001,Chocolate Fudge Cake,BR-B,105,2026-03-01
CAKE-001,Chocolate Fudge Cake,BR-C,84,2026-03-01
CAKE-001,Chocolate Fudge Cake,BR-D,63,2026-03-01
CAKE-001,Chocolate Fudge Cake,BR-E,42,2026-03-01
CAKE-002,Vanilla Sponge Cake,BR-A,108,2026-03-01
CAKE-002,Vanilla Sponge Cake,BR-B,90,2026-03-01
CAKE-002,Vanilla Sponge Cake,BR-C,72,2026-03-01
CAKE-002,Vanilla Sponge Cake,BR-D,54,2026-03-01
CAKE-002,Vanilla Sponge Cake,BR-E,36,2026-03-01
CAKE-003,Red Velvet Cake,BR-A,66,2026-03-01
CAKE-003,Red Velvet Cake,BR-B,55,2026-03-01
CAKE-003,Red Velvet Cake,BR-C,44,2026-03-01
CAKE-003,Red Velvet Cake,BR-D,33,2026-03-01
CAKE-003,Red Velvet Cake,BR-E,22,2026-03-01
CAKE-004,Lemon Drizzle Cake,BR-A,60,2026-03-01
CAKE-004,Lemon Drizzle Cake,BR-B,50,2026-03-01
CAKE-004,Lemon Drizzle Cake,BR-C,40,2026-03-01
CAKE-004,Lemon Drizzle Cake,BR-D,30,2026-03-01
CAKE-004,Lemon Drizzle Cake,BR-E,20,2026-03-01
CAKE-005,Carrot Cake,BR-A,54,2026-03-01
CAKE-005,Carrot Cake,BR-B,45,2026-03-01
CAKE-005,Carrot Cake,BR-C,36,2026-03-01
CAKE-005,Carrot Cake,BR-D,27,2026-03-01
CAKE-005,Carrot Cake,BR-E,18,2026-03-01
CAKE-006,Black Forest Cake,BR-A,78,2026-03-01
CAKE-006,Black Forest Cake,BR-B,65,2026-03-01
CAKE-006,Black Forest Cake,BR-C,52,2026-03-01
CAKE-006,Black Forest Cake,BR-D,39,2026-03-01
CAKE-006,Black Forest Cake,BR-E,26,2026-03-01
CAKE-007,Strawberry Shortcake,BR-A,72,2026-03-01
CAKE-007,Strawberry Shortcake,BR-B,60,2026-03-01
CAKE-007,Strawberry Shortcake,BR-C,48,2026-03-01
CAKE-007,Strawberry Shortcake,BR-D,36,2026-03-01
CAKE-007,Strawberry Shortcake,BR-E,24,2026-03-01
CAKE-008,Whole-Wheat Cake,BR-A,45,2026-03-01
CAKE-008,Whole-Wheat Cake,BR-B,38,2026-03-01
CAKE-008,Whole-Wheat Cake,BR-C,30,2026-03-01
CAKE-008,Whole-Wheat Cake,BR-D,22,2026-03-01
CAKE-008,Whole-Wheat Cake,BR-E,15,2026-03-01
CAKE-009,Pineapple Upside-Down Cake,BR-A,57,2026-03-01
CAKE-009,Pineapple Upside-Down Cake,BR-B,48,2026-03-01
CAKE-009,Pineapple Upside-Down Cake,BR-C,38,2026-03-01
CAKE-009,Pineapple Upside-Down Cake,BR-D,28,2026-03-01
CAKE-009,Pineapple Upside-Down Cake,BR-E,19,2026-03-01
CAKE-010,Butter Cake,BR-A,102,2026-03-01
CAKE-010,Butter Cake,BR-B,85,2026-03-01
CAKE-010,Butter Cake,BR-C,68,2026-03-01
CAKE-010,Butter Cake,BR-D,51,2026-03-01
CAKE-010,Butter Cake,BR-E,34,2026-03-01
